text,Date
Apple s Macintosh computer completes 30 years,1/27/2014
Apple Computers Celebrates 30th Anniversary,1/27/2014
Carl Icahn takes another $500 mn bite out of Apple shares,1/27/2014
"Icahn raises Apple stake, now owns $3bn in stock",1/27/2014
Apple unveils iPad Air and Macbook,1/27/2014
Carl Icahn ups Apple stake to $3 billion,1/27/2014
"This Week’s Apple Rumors, Ranked From Dumbe…",1/27/2014
Mac turns 30: A look back in pictures at Apple computers that made a difference,1/27/2014
"Exclusive: Apple CEO on NSA, What s Next as Mac Turns 30",1/27/2014
"New Apple TV set-top box expected in first half of 2014, report says",1/27/2014
Outsourced Apple supplier to bring factory back to US,1/27/2014
Samsung s damage amount to Apple is worth 16 days of its profit,1/27/2014
Apple to venture into mobile-payments business,1/27/2014
Apple wins keyboard infringement claim against Samsung,1/27/2014
NSA doesn t have  back door access  to Apple servers: Tim Cook,1/27/2014
Apple updates iWork office suite across all platforms,1/27/2014
"Let me take you back to 2007, when Apple co-founder and CEO Steve Jobs first introduced the world to the iPhone.",1/27/2014
"EXPRESS READING: Nest, Google s Smart Contact Lenses and Apple in China",1/27/2014
Apple iPhone 6 may have solar charging: Analyst,1/27/2014
Apple iPad Air vs Samsung Galaxy Note 10.1 vs Sony Xperia Tablet Z,1/27/2014
In pics: Apple s Mac computer over the years,1/27/2014
Can Apple do a private bitcoin?,1/27/2014
The  Mac  turns 30: Apple fans expect a birthday party in Silicon Valley,1/27/2014
Apple Mac Pro finally on sale,1/27/2014
Apple getting rosier? Banks raise revenue estimates,1/27/2014
The Apple Mac at 30: See the Evolution of a…,1/27/2014
"Apple iPhone 5s Users Are Data Fiends, Study …",1/27/2014
Apple Stores now fixing cracked iPhone 5C screens,1/27/2014
Report: Apple making bigger iPhone,1/27/2014
Apple earnings cap off Monday s  5 things,1/27/2014
Apple earnings one of Monday s  5 a day,1/27/2014
Tech stocks: Apple kicks off big earnings week,1/27/2014
U.S. to court: Reject Apple s monitor challenge,1/27/2014
Marking 30 years of the Apple Macintosh,1/27/2014
Thirty years of Apple s Mac,1/27/2014
Apple considering move into mobile payments: Report,1/27/2014
Apple engineers who brought Mac to life get  rockstar  treatment,1/27/2014
Watch Steve Jobs demo the first Apple Mac back in 1984,1/27/2014
Floor tiles with Apple logo sold as real iPads,1/27/2014
Apple CEO Tim Cook Discusses NSA,1/27/2014
Glass House + Stone (or Something) = Apple Store Disaster,1/27/2014
"Apple going big with two new iPhones, sources say",1/27/2014
30 years ago on TODAY: Apple shows off original Macintosh computer,1/27/2014
Apple shares up ahead of earnings report,1/27/2014
The Mac at 30: Apple celebrates a major milestone,1/27/2014
Apple earnings: Was it really an iPad Christmas?,1/27/2014
"Apple to roll out larger-screen iPhones, scrap 5c, report says",1/27/2014
U.S. urges court to let Apple antitrust monitor get back to work,1/27/2014
Apple launches on China Mobile with blockbuster sales expected,1/27/2014
Scenes from Apple s China Mobile launch,1/27/2014
Video: Apple planning two larger iPhones,1/27/2014
Apple will refund at least $32.5M in app case,1/27/2014
Apple a  no-brainer  on earnings?   ,1/27/2014
"From Apple to Google: Face it, you need these guys",1/27/2014
"Caterpillar, Apple earnings loom on Wall Street",1/27/2014
Gauging the core of Apple s juicy stock run,1/27/2014
"Watch out, Apple - Google, Samsung deepen ties",1/27/2014
Apple preview: What investors expect,1/27/2014
Apple to announce  best quarter  ever?   ,1/27/2014
Apple to announce  best quarter  ever?,1/27/2014
"The CAT, AAPL effect",1/27/2014
Apple will surprise to the upside: Pro,1/27/2014
"Traders look to earnings for direction, Apple looms",1/27/2014
Cramer: Concerned about Apple stores in US,1/27/2014
Apple takes a fresh bite into China s market,1/27/2014
Apple gets temporary break from antitrust monitor,1/27/2014
"Apple items  real price? Try $400K Macs, $23K iPods",1/27/2014
"Apple s Q1 disappoints investors, stock stumbles",1/28/2014
"Apple reports record revenue, but forecast weak",1/28/2014
Carl Icahn buys another $500 mn in Apple stock,1/28/2014
S&P 500 drops for a third day; Apple down after the bell,1/28/2014
"Apple reports $13.1 billion profit, sells 51 million iPhones",1/28/2014
Apple shares tumble despite new revenue high,1/28/2014
Wall St rebounds ahead of Fed meet; Apple weighs on techs,1/28/2014
Samsung s Galaxy phones fading? Apple sells record 51 mn iPhones in Q4,1/28/2014
80% of Apple gadgets now run on iOS 7: CFO,1/28/2014
"Apple breaks revenue, iPhone, and iPad reco…",1/28/2014
Icahn buys more Apple stock amid big selloff,1/28/2014
Apple off more than 5% on weak forecast,1/28/2014
Apple shares fall 6% after quarter results,1/28/2014
Apple shares fall on flat earnings,1/28/2014
Apple earnings beat expectations,1/28/2014
Apple shares rise on Chinese deal,1/28/2014
Apple Mac team reunited 30 years on,1/28/2014
"Just bought another $500 million in Apple stock, says Icahn after Tuesday s dip",1/28/2014
"Apple s iPhone sales, revenue forecast fall short; shares slide",1/28/2014
Apple shares tumble 8 percent on cloudy outlook,1/28/2014
"Apple s iPhone sales, revenue forecast fall short",1/28/2014
"Apple drops on weak iPhone sales, revenue outlook",1/28/2014
Apple shares open lower after muted iPhone sales,1/28/2014
"Apple s iPhone sales and outlook lag targets, shares slide",1/28/2014
"Apple needs to get back to innovating, pros say",1/28/2014
US stocks mostly gain on earnings; Apple weighs on Nasdaq,1/28/2014
"Early movers: F, AAPL, DD, CMCSA, CLF, PFE & more",1/28/2014
Carl Icahn tweets he has bought $500 million more in Apple shares,1/28/2014
"Apple to register record holiday sales, but China doubts stay",1/28/2014
Apple needs a superb quarter to galvanise the stock.,1/28/2014
Apple CEO on iPhone 5C’s ‘failure’,1/28/2014
Wall Street: US stocks rise despite Apple hit,1/28/2014
"Apple s iPhone sales lag Wall Street, shares dip",1/28/2014
Apple s China Mobile debut off to incredible start: CEO,1/28/2014
Apple s iPhone sales disappoint,1/28/2014
Apple s sales disappoint,1/28/2014
All eyes on Apple s earnings,1/28/2014
Apple plants seeds for next big thing,1/28/2014
