Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
5/16/1997,1.97,1.98,1.71,1.73,14700000,0,0,0,0,0,0,0,1000,4.839183424,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,0,0,0,1.73,1.73,0,0,0,1,1,0,0,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,50,50,0,50,50,50,-50,0,0,0,0
5/19/1997,1.76,1.77,1.62,1.71,6106800,-11300862.22,-6106800,0,0,0,0,0,988.4393064,4.504241751,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.000448718,-0.000249288,-0.00019943,1.719166667,1.719615385,0,0,0,1,1,0,-0.175380004,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,0,50,-100,50,50,50,-50,0,-1.156069364,-1.1628038,-1.156069364
5/20/1997,1.73,1.75,1.64,1.64,5467200,-4245840,-5467200,0,0,830952,0,-294402.3527,947.9768786,4.19036734,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.002742452,-0.001271076,-0.001471375,1.688267898,1.69101035,0,0,0,1,1,0,-0.349042314,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,0,50,-100,50,50,50,-50,0,-4.093567251,-4.179712868,-5.202312139
5/21/1997,1.64,1.65,1.38,1.43,18853200,-17337733.33,-18853200,0,0,-3568992,0,-2637932.777,947.9768786,3.910341101,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.011300446,-0.004668559,-0.006631887,1.606742816,1.618043262,0,0,0,1,1,0,-0.704207175,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,0,50,-100,50,50,50,-50,0,-12.80487805,-13.70217976,-17.34104046
5/22/1997,1.44,1.45,1.31,1.4,11776800,-8505733.333,-11776800,0,0,-1514304,0,-2661195.003,928.0892518,3.641031023,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.016906598,-0.008309099,-0.008597499,1.550571532,1.56747813,0,0,0,1,1,0,-0.898365329,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,0,50,-100,50,50,50,-50,0,-2.097902098,-2.120220765,-19.07514451
5/23/1997,1.41,1.52,1.33,1.5,15937200,15946800,15937200,0,0,-204120,0,891305.6943,928.0892518,3.394528807,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.01568281,-0.010307785,-0.005375025,1.538279989,1.553962799,0,0,0,1,1,0,-0.914534643,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,29.36132379,50,-85.78566506,50,50,50,-50,0,7.142857143,6.899287149,-13.29479769
5/27/1997,1.51,1.65,1.46,1.58,8697600,14870842.11,8697600,0,0,-554256,0,1602243.429,977.5873452,3.165633892,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.011003717,-0.010483907,-0.00051981,1.547589664,1.55859338,0,0,0,1,1,0,-0.834098549,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,44.42396374,50,-71.52626386,50,50,50,-50,0,5.333333333,5.195973893,-8.670520231
5/28/1997,1.62,1.64,1.53,1.53,4574400,-2285557.895,-4574400,0,0,-340884,0,319112.5063,946.6510368,2.947374328,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.010067306,-0.01038379,0.000316483,1.543918972,1.553986278,0,0,0,1,1,0,-0.754658394,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,38.50313429,50,-64.04970744,50,50,50,-50,0,-3.164556962,-3.215711163,-11.56069364
5/29/1997,1.54,1.54,1.48,1.51,3472800,-4574400,-3472800,0,0,365736,0,-190155.5721,934.2765135,2.741133305,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.010257954,-0.010354721,9.67669E-05,1.537208592,1.547466546,0,0,0,1,1,0,-0.68885618,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,36.27190836,50,-59.54120133,50,50,50,-50,0,-1.307189542,-1.315808458,-12.71676301
5/30/1997,1.5,1.51,1.48,1.5,2594400,864800,-2594400,-2821080,0,59400,0,-62577.53539,928.0892518,2.547480926,1.745489,1.367511,1.5565,0,0,1.564333333,1.716333333,1.412333333,0,0,1.73,1.4,0,0,-0.010759046,-0.010445313,-0.000313733,1.530157578,1.540916625,0,0,0,1,1,0,-0.635415965,25,0,0,0,0,0,1.605,1.94,1.605,1.94,0,0,0,35.09848757,50,-56.53177473,50,50,50,-50,0,-0.662251656,-0.664454272,-13.29479769
