Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
5/18/2012,42.05,45,38,38.23,580438450,0,0,0,0,0,0,0,1000,1.896870217,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,0,0,0,38.23,38.23,0,0,0,1,1,0,0,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,50,50,0,50,50,50,-50,0,0,0,0
5/21/2012,36.53,36.66,33,34.03,169418988,-616358297.4,-169418988,0,0,0,0,0,890.1386346,2.134950916,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.094230769,-0.052350427,-0.041880342,35.955,36.04923077,0,0,0,1,1,0,-1.666637603,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,0,50,-100,50,50,50,-50,0,-10.98613654,-11.63780592,-10.98613654
5/22/2012,32.61,33.59,30.94,31,101876406,-171326080.4,-101876406,0,0,3460003578,0,-27683583.14,810.8815067,2.203168708,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.214028822,-0.118612065,-0.095416758,34.02106236,34.23509118,0,0,0,1,1,0,-1.681301551,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,0,50,-100,50,50,50,-50,0,-8.903908316,-9.325528403,-18.91184933
5/23/2012,31.37,32.5,31.36,32,73678512,-88214896.47,73678512,0,0,194353166.3,0,-6694255.593,837.0389746,2.152942372,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.227165403,-0.155384876,-0.071780527,33.38309195,33.61025736,0,0,0,1,1,0,-1.454245982,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,14.74781241,50,-92.83299111,50,50,50,-50,0,3.225806452,3.174869831,-16.29610254
5/24/2012,32.95,33.21,31.77,33.03,42560731,40968786.57,42560731,0,0,-120410820.3,0,3746649.723,863.9811666,2.102017916,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.188535151,-0.165246333,-0.023288818,33.28715813,33.47569328,0,0,0,1,1,0,-1.205416401,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,27.46174339,50,-84.8841487,50,50,50,-50,0,3.21875,3.16803366,-13.60188334
5/25/2012,32.9,32.95,31.11,31.91,37163003,27073200.03,-37163003,0,0,3286395.81,0,109779.3159,834.6848025,2.089016637,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.209661152,-0.177285218,-0.032375933,32.95243625,33.16209741,0,0,0,1,1,0,-1.042449618,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,23.13322553,50,-80.68266574,50,50,50,-50,0,-3.390856797,-3.449679911,-16.53151975
5/29/2012,31.48,31.69,28.65,28.84,78023706,-73118090.97,-78023706,0,0,-148589865.3,0,-8766655.571,834.6848025,2.172658306,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.358674295,-0.223189955,-0.13548434,32.03476049,32.39343479,0,0,0,1,1,0,-0.99690305,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,15.43741995,50,-78.87218821,50,50,50,-50,0,-9.620808524,-10.11561279,-24.56186241
5/30/2012,28.69,29.55,27.86,28.19,57255131,-103165881.8,-57255131,0,0,-74742716.16,0,-8796935.6,815.8725583,2.138182712,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.483739052,-0.285804802,-0.197934249,31.23241824,31.71615729,0,0,0,1,1,0,-0.994641894,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,14.27709252,50,-77.82914494,50,50,50,-50,0,-2.253814147,-2.279600729,-26.26209783
5/31/2012,28.55,29.67,26.83,29.6,111609237,71212234.19,111609237,0,0,25525003.56,0,4292017.197,815.8725583,2.188312519,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.493028516,-0.333674508,-0.159354007,30.90946781,31.40249632,0,0,0,1,1,0,-0.976457578,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,27.85060366,50,-74.79435086,50,50,50,-50,0,5.001773679,4.88070562,-22.57389485
6/1/2012,28.89,29.15,27.39,27.72,41848984,79951758.2,-41848984,-25773773.8,0,7240889.09,0,2924465.428,764.0536256,2.189861624,35.68320782,23.06779218,29.3755,0,0,31.84766667,34.55366667,29.14166667,0,0,38.23,25.87,0,0,-0.589282774,-0.390945598,-0.198337176,30.3050649,30.89434767,0,0,0,1,1,0,-0.975209082,25,0,0,0,0,0,32.7675,32.92,32.7675,32.92,0,0,0,22.3950989,50,-72.95538914,50,50,50,-50,0,-6.351351351,-6.562018701,-27.49149882
