text,Date,user_id_str
apple screwed up big time URL $ amzn $ aapl,Wed Jan 01 15:01:12 +0000 2014,23669783
rt AT_USER several incredible novels to help you to turbo-charge your kindle ! URL $ amzn bestsellers books ( vi …,Thu Jan 02 04:26:15 +0000 2014,1651745263
$ amzn is getting on my nerves . so much for that 400,Thu Jan 02 14:59:42 +0000 2014,1554587370
"the first employees at google , amazon and subway share stories of the companies ' early days : URL $ goog $ amzn",Fri Jan 03 09:42:23 +0000 2014,2270546767
rbc top 3 internet longs for 2014 : $ goog ( best play on online advertising ); $ amzn ( best play on online retail ); $ ebay ( poised for rebound ),Fri Jan 03 21:36:50 +0000 2014,468703129
$ amzn amazons bezos airlifted off galapagos in health scare URL,Sun Jan 05 03:07:18 +0000 2014,1849605206
$ amzn amazons bezos rescued by ecuador navy due to kidney stone - report URL,Sat Jan 04 23:25:18 +0000 2014,1849605206
$ amzn amazons bezos rescued by ecuador navy due to kidney stone : report URL,Sun Jan 05 07:31:18 +0000 2014,1923869994
bezos airlifted from cruise after kidney stone attack URL $ amzn,Sun Jan 05 08:05:11 +0000 2014,348642818
"AT_USER sunday links : reflexive buybacks , economic optimism & short vs long-term thinking URL $ amzn $ goog $ fb",Sun Jan 05 20:31:46 +0000 2014,466333756
rt AT_USER 9 bar charts : apple vs . amazon vs . google URL $ amzn $ goog only market sentiment killing $ aapl ceo,Mon Jan 06 16:42:55 +0000 2014,518510611
"$ amzn wall street breakfast : must-know news [ URL inc . , jpmorgan chase ... URL",Mon Jan 06 16:22:07 +0000 2014,1923869994
amazon tax expands to 3 more states - msn money URL via AT_USER $ amzn,Mon Jan 06 13:35:25 +0000 2014,331787759
"if $ amzn starts accepting bitcoin , bitcoin will go to $ 2000 overnight .",Tue Jan 07 00:41:04 +0000 2014,1138658689
rt AT_USER build a mini long-short portfolio with these 6 high-priced shares URL $ aamc $ aapl $ amzn $ brk . a $ tprp $ …,Tue Jan 07 11:35:42 +0000 2014,316391952
$ amzn news alert : URL updated options view : URL,Tue Jan 07 17:18:45 +0000 2014,1924310023
$ amzn amazon signs exclusive deal with cbs for ' extant ' URL,Wed Jan 08 16:14:50 +0000 2014,1175266028
rt AT_USER a look inside amazon's rigorous hiring program : URL $ amzn URL,Wed Jan 08 21:54:42 +0000 2014,19374938
$ amzn comcast q4 video subscriber gain sends stock up URL,Wed Jan 08 03:35:18 +0000 2014,1849605206
"rt AT_USER amazon's workforce has tripled in 3 years , growing faster than other tech giants . URL $ amzn URL",Thu Jan 09 13:01:25 +0000 2014,180162681
so we have to wait until feb 4 to find out if all this poor retail is bc of $ amzn . earnings,Thu Jan 09 13:34:24 +0000 2014,21917683
"internet stocks : double top ? $ spy , $ spx , $ es_f , $ fdn , $ goog , $ amzn URL",Thu Jan 09 21:32:46 +0000 2014,950517078
very pleased that i'm still holding my $ bidu runners . long $ amzn $ aapl short $ cme,Thu Jan 09 12:53:09 +0000 2014,1838108192
the dirty little secret about 4k streaming : content owners can't afford the bandwidth costs URL $ amzn $ nflx $ cmcsa,Wed Jan 08 23:49:18 +0000 2014,1923869994
found another senior $ shld e-comm exec resume . previous experience is ops guy @ $ amzn fulfill warehouse in kentucky ! URL,Fri Jan 10 02:21:00 +0000 2014,16598957
AT_USER i think it breaks tomorrow $ amzn,Fri Jan 10 00:38:12 +0000 2014,894442988
mad money portfolio strategy URL exiting $ amzn for $ zu and covering loss in $ cag for short in $ tcs,Fri Jan 10 06:06:54 +0000 2014,2162015989
bad sales at $ shld . $ sne streaming games . $ aapl streaming everything $ amzn selling everything . should anyone own $ bby here ? AT_USER,Fri Jan 10 13:43:42 +0000 2014,383951841
"$ amzn URL consolidation in a zone , looks good over 406",Sat Jan 11 20:54:46 +0000 2014,24227424
stop worrying about ibm's revenues $ ibm $ amzn URL,Sun Jan 12 13:13:22 +0000 2014,164444607
rt AT_USER a look inside amazon's rigorous hiring process : URL $ amzn URL,Mon Jan 13 02:44:00 +0000 2014,247996457
AT_USER now if only those $ amzn employees could figure out how to turn a profit ...,Mon Jan 13 00:30:01 +0000 2014,184530853
"amazon sells more online than its next 12 biggest competitors combined , including wal-mart : URL $ amzn $ wmt",Mon Jan 13 05:23:56 +0000 2014,1942116032
and people quoting $ amzn's p / e ratio are on fumes . $ amzn's trading profitability for growth . and investing . there's nothing wrong with that .,Tue Jan 14 20:37:59 +0000 2014,20268555
"fibonacci technical levels $ amzn , $ aapl , $ fb , $ goog URL",Tue Jan 14 12:34:29 +0000 2014,950517078
rt AT_USER sell netflix : the icahn thesis is flawed URL $ amzn $ nflx,Tue Jan 14 20:07:50 +0000 2014,832126692
looking for $ amzn to get into that 400 to 406 channel today,Wed Jan 15 12:41:05 +0000 2014,894442988
employee growth at major tech companies in last 3 years . $ goog ~ 2x $ amzn ~ 4x $ appl ~ 2x $ msft ~ 1x $ ebay ~ 2x URL,Tue Jan 14 23:09:55 +0000 2014,21828729
"rt AT_USER dbw 14 AT_USER AT_USER refers to $ amzn stock as "" a cult "" - - "" and a cult i think you should join "" in investment terms .",Wed Jan 15 18:21:15 +0000 2014,488646335
"rt AT_USER google outspends top 5 rivals combined - $ aapl , $ fb , $ msft , $ yhoo , $ amzn - in deals push , with nest just the latest . URL",Wed Jan 15 06:57:45 +0000 2014,16960975
“ AT_USER facebook makes amazon look cheap URL $ amzn $ fb ”,Thu Jan 16 19:42:50 +0000 2014,479757960
rt AT_USER a vote to unionize AT_USER warehouse workers in the us failed last night . our poll says its a wake-up call for $ amzn http …,Thu Jan 16 13:52:12 +0000 2014,15069354
$ bby goes from $ 13 bln company to $ 9b co as reality hits : margin compression / price war is here to stay amid secular shift ( online ) $ amzn,Thu Jan 16 13:55:39 +0000 2014,286338499
$ amzn bango selects interxion to support the global expansion of its mobile ... URL,Thu Jan 16 09:08:21 +0000 2014,1923869994
"$ bby did not crater the markets friday due to brick and mortar status , but we are just getting started with earnings . $ amzn key .",Sun Jan 19 21:59:31 +0000 2014,56910769
rt AT_USER breaking : amazon considers online pay tv service - dj • $ amzn,Tue Jan 21 21:18:16 +0000 2014,191625627
$ amzn - [ $ $ ] amazon considering online pay tv service -> URL stock stocks stockaction,Tue Jan 21 21:19:05 +0000 2014,71319651
long setups to watch this week $ amzn $ bbry $ dyn $ eght $ glng $ goro $ lscc $ scco $ wtr URL,Tue Jan 21 13:34:25 +0000 2014,470089986
"i can't believe this is going against my thoughts but long $ srpt 28.50 and long $ amzn 405c , stopped out rest $ bbry 9.80",Tue Jan 21 14:53:52 +0000 2014,816498872
"AT_USER $ amzn probably came to the conclusion that it only makes money on 3p , too . this in spite of its massive 1p infrastructure .",Tue Jan 21 14:08:27 +0000 2014,616110173
how amazon is avoiding unions and walmart-style bad press URL via AT_USER $ amzn $ wmt,Tue Jan 21 13:38:02 +0000 2014,1407711288
rt AT_USER new alltimehighs in $ xlv $ iwm & $ goog $ amzn $ fb $ gild $ ba $ utx $ amgn $ biib $ pcln $ esrx $ acn $ lmt $ dtv $ crm $ gd $ act $ syk $ …,Wed Jan 22 21:38:04 +0000 2014,1340184788
amazon working to expand online video efforts by licensing tv channels via AT_USER URL $ amzn,Tue Jan 21 23:56:26 +0000 2014,287873495
$ amzn + 2 URL,Tue Jan 21 23:00:29 +0000 2014,2225736080
"AT_USER oh i do , too , i just don't always tell you ;-) cut out $ nbg today btw and ditched $ wlt & $ amzn slightly b4 your alert .",Wed Jan 22 02:35:55 +0000 2014,1267775677
"rt AT_USER commented on : "" automation : the next hybrid cloud battle "" URL $ amzn $ msft $ vmw",Wed Jan 22 18:48:22 +0000 2014,89247454
$ amzn - can a hedge fund save radioshack ? -> URL stock stocks stockaction,Wed Jan 22 19:15:35 +0000 2014,153395860
rt AT_USER $ fb 1 setup long tomorrow - watchlist for wednesday is up $ lqmt $ ambs $ mjna $ phot $ fnma $ fmcc $ fb $ gmcr $ amzn URL,Wed Jan 22 04:07:59 +0000 2014,60429918
thinking of investing in $ oxy $ amzn $ icpt check out URL,Thu Jan 23 01:08:26 +0000 2014,2265955176
rt AT_USER real estate's least sexy sector is red hot : URL ( via AT_USER $ amzn,Thu Jan 23 03:31:04 +0000 2014,19218290
"$ amzn - [ video ] amazon exploring online pay-tv service , and more -> URL stock stocks stockaction",Thu Jan 23 05:19:01 +0000 2014,71319651
"AT_USER AT_USER AT_USER yes . $ amzn thought big and backers bet big . $ btc ventures are small , cautious bets . who's betting against visa ?",Thu Jan 23 19:17:52 +0000 2014,3584781
"last time we released $ revo it ran 1,100 % for our subscribers , in 5 weeks . is it ready once again ? URL $ amzn $ mcox $ goog",Thu Jan 23 03:20:20 +0000 2014,862707608
AT_USER its a hedgie on other side seeking cheaper put on $ amzn than lt options,Thu Jan 23 20:29:19 +0000 2014,392739061
$ amzn - [ video ] buy retailers with strong e-commerce : trader -> URL stock stocks stockaction,Thu Jan 23 05:04:26 +0000 2014,71319651
"URL inc stock update for january 23 , 2014 $ amzn URL",Thu Jan 23 20:50:07 +0000 2014,176461277
$ amzn - is URL inc . girding for war over net neutrality changes ? -> URL stock stocks stockaction,Fri Jan 24 21:49:01 +0000 2014,71319651
ebay reliance on paypal for growth lowers chances of spinoff URL $ amzn $ ebay $ ma $ v $ aapl $ 4331,Fri Jan 24 12:20:04 +0000 2014,102325185
$ amzn - 3 reasons why bed bath & beyond is leading the way in home goods retai ... -> URL stock stocks stockaction,Fri Jan 24 02:08:01 +0000 2014,404613701
"civilian drones to swarm u . s . skies , but not just yet URL ibdnews vía AT_USER $ amzn $ bhp $ rio $ avav $ ba $ lmt",Fri Jan 24 07:04:49 +0000 2014,1534662992
"if this market selloff continues for another 5-10 % , there will be some great investing opportunities : $ aapl $ amzn $ goog $ tsla $ twtr $ yhoo",Fri Jan 24 16:42:56 +0000 2014,970987309
"rt AT_USER more signs of shift from bricks to clicks in earnings call , with huge implications for $ goog $ amzn $ ebay $ aapl $ eat $ cmg $ dri $ …",Fri Jan 24 16:49:48 +0000 2014,939736428
rt AT_USER looks like AT_USER web services took down one of the biggest names in servers . URL $ amzn,Fri Jan 24 02:20:21 +0000 2014,249870973
$ amzn will the q on q story of high growth & no profits repeat ? we find the current valuation very risky to enter URL,Sat Jan 25 03:17:23 +0000 2014,960834355
rt AT_USER earnings finally matter URL $ aa $ aapl $ amzn $ bx $ cmg $ fb $ lulu $ lvs $ ma $ psx $ stx $ vmw $ yhoo,Sun Jan 26 01:38:47 +0000 2014,37232414
rt AT_USER amazon's jeff bezos announced as the no . 1 ceo in the world in a new ranking of the top 100 URL $ amzn …,Sun Jan 26 10:55:04 +0000 2014,88998103
"24 of the world's biggest companies report earnings next week . including $ amzn , $ goog , $ fb , and $ aapl : URL",Sun Jan 26 21:57:09 +0000 2014,317284780
"rt AT_USER rt AT_USER 24 of world's biggest companies report earnings next week . including $ amzn , $ goog , $ fb , and $ aapl : URL",Sun Jan 26 23:03:19 +0000 2014,1338085675
oh yeah - $ aapl $ fb $ amzn earnings this week !,Mon Jan 27 12:29:47 +0000 2014,353941868
"$ amzn stock quote , 3:16 pm : 389.31 +1.71 ( +0.44 % ) .",Mon Jan 27 20:32:02 +0000 2014,249924827
rt AT_USER big earnings next week - open interest and implied volatility for $ aapl $ fb $ amzn $ cmg $ goog $ ma URL,Mon Jan 27 01:18:16 +0000 2014,1054384129
"AT_USER man , throw in earnings from 4 major companies and we've really got a party . $ aapl $ goog $ amzn $ fb",Mon Jan 27 02:31:13 +0000 2014,478050993
$ amzn 380 huge and great place to define risk . any reaction off of 390 and this can drop to 360,Tue Jan 28 01:58:12 +0000 2014,154726606
"call me "" cre-cre "" but i'd rather own flat $ aapl continually posting $ 13b profit than 25 % growth $ amzn with rev's $ 17b , $ 500m loss , & 1415pe",Tue Jan 28 17:45:04 +0000 2014,63488326
$ amzn [ $ $ ] netflix gears up to expand in europe URL,Tue Jan 28 19:40:36 +0000 2014,1175266028
AT_USER inc . ( $ amzn ) rising quickly ! currently priced at 392.41 . URL,Tue Jan 28 19:13:58 +0000 2014,221865800
$ amzn [ video ] google and amazon earnings need to convince fundamental investors URL,Wed Jan 29 20:09:23 +0000 2014,1175266028
amazon to offer brick-and-mortar stores a kindle tablet checkout system $ amzn URL,Wed Jan 29 22:49:01 +0000 2014,2252656352
$ amzn earnings preview : amazon expected to beat q4 estimates by ' significant amount ' URL,Wed Jan 29 18:53:24 +0000 2014,1923869994
option millionaires : uranium-pinto-beans : $ amzn earnings tonight - - - where is it URL,Thu Jan 30 12:57:09 +0000 2014,575576964
$ amzn - stock market live blog : nasdaq rallies ; dow triple-digit gain not enou ... -> URL stock stocks stockaction,Thu Jan 30 19:15:27 +0000 2014,153395860
"rt AT_USER $ amzn amazon planning to offer retailers a kindle checkout system , wsj reports : full story URL",Thu Jan 30 11:20:52 +0000 2014,81715055
rt AT_USER redonkulous list of primo earnings reports amc : $ goog $ amzn $ cmg $ crcm $ wynn $ n,Thu Jan 30 17:24:09 +0000 2014,848311970
$ amzn earnings leak ? or being taken up by sellers getting out b4 the report ?,Thu Jan 30 17:28:46 +0000 2014,495205951
very tempted to play $ amzn earning tonight . thoughts ?,Thu Jan 30 13:36:55 +0000 2014,54047530
AT_USER “ AT_USER amazon to offer brick-and-mortar stores a kindle tablet checkout system $ amzn URL ygmn ”,Wed Jan 29 23:16:04 +0000 2014,6624472
are $ amzn's arnings a story of conscious capitalism ? AT_USER,Thu Jan 30 21:53:53 +0000 2014,194998792
"buy 40 shares of $ amzn at 368 . it's a déjà vu . you buy after hours , sell before noon the next day .",Thu Jan 30 21:25:08 +0000 2014,24963728
"it's one thing for $ amzn earnings to miss forecasts , but when your p / e is north of 1400 , you better not miss on sales URL",Thu Jan 30 21:35:05 +0000 2014,273540698
meno male che c'è $ amzn che mi tira su il morale và !,Thu Jan 30 17:14:47 +0000 2014,4502381
URL $ amzn announces quarterly results URL,Thu Jan 30 22:26:57 +0000 2014,61661638
amazon expanding support services to physical retailers with a kindle tablet checkout system $ amzn URL,Thu Jan 30 09:15:51 +0000 2014,407308733
"AT_USER AT_USER yeah , but with $ amzn , it's not eps , but revenue is where people are watching . i think the risk ( vol ) is high",Thu Jan 30 19:51:22 +0000 2014,2262846954
rt AT_USER amazon is planning to offer offer brick-and-mortar stores a checkout system using kindle tablets . URL $ amzn,Thu Jan 30 20:20:17 +0000 2014,709407101
$ amzn was so busy that they broke $ ups and they still couldn't beat estimates ?,Thu Jan 30 21:17:26 +0000 2014,125773679
rt AT_USER and the stock is up over $ 100 rt AT_USER $ amzn has missed revenue estimates in 8 of the last 10 quarters .,Thu Jan 30 21:17:46 +0000 2014,166396386
"$ yhoo , $ aapl slaughtered $ amzn just got crushed $ goog < expectations . $ fb $ nflx $ twtr up . are u on the right side of these trades ?",Thu Jan 30 21:18:04 +0000 2014,223437958
"but drones ! rt "" AT_USER oof . amazon's stock price is getting kicked hard . down 11 % now on earnings miss . URL $ amzn",Thu Jan 30 21:41:20 +0000 2014,176558333
my that after-hours chart on $ amzn looks familiar .,Thu Jan 30 21:42:46 +0000 2014,1365629082
"google , amazon , chipotle move late on earnings URL $ goog $ amzn $ cmg",Thu Jan 30 21:47:14 +0000 2014,21328656
$ amzn bond yields hold gains after 5 - year debt auction URL,Thu Jan 30 18:23:36 +0000 2014,1175266028
$ amzn URL,Thu Jan 30 20:55:50 +0000 2014,1376953676
s & p500 stocks performance $ alxn $ har $ pbi $ fb $ an $ cam $ vrtx $ pld $ amzn $ crm $ biib $ bll $ wynn $ regn $ cern more @ URL,Thu Jan 30 20:58:36 +0000 2014,567452784
$ amzn wild action here as well ..,Thu Jan 30 21:05:50 +0000 2014,41753918
@ $ amzn AT_USER wow ! awesome call tastytrade,Thu Jan 30 21:06:34 +0000 2014,1935969883
“ AT_USER amazon may raise the $ 79 annual fee for its prime two-day shipping service by as much as $ 40 . URL $ amzn ” ouch !,Fri Jan 31 15:05:44 +0000 2014,1713097284
$ goog $ amzn so far no downgrade analysts still recommends btd .,Fri Jan 31 12:54:26 +0000 2014,411786151
"$ 10 / mo not a big deal but they could lose subscribers . anecdotally , their prices seem to be no longer always the lowest . $ amzn",Fri Jan 31 17:11:56 +0000 2014,122186657
"buzz stocks : starbucks corporation , microsoft corporation , google inc , and ... $ amzn URL",Fri Jan 31 02:49:18 +0000 2014,704897486
rt AT_USER i analyzed $ cost $ lnkd $ sbux $ ung and much more on my video market recap from earlier : URL $ amzn $ cmg $ g …,Fri Jan 31 02:56:27 +0000 2014,7836182
"$ amzn buzz stocks : starbucks corporation , microsoft corporation , google inc , and ... URL",Fri Jan 31 02:59:13 +0000 2014,1923869994
$ amzn - will amazon lovers stick with a prime price hike ? -> URL stock stocks stockaction,Fri Jan 31 18:47:01 +0000 2014,2180886595
"rt AT_USER . AT_USER on $ amzn : no reason to panic , buyers will come back to the stock URL",Fri Jan 31 16:44:37 +0000 2014,15281391
"rt AT_USER mis à part $ amzn - 9 % qui se fait démonter , wall street résiste bien",Fri Jan 31 16:49:17 +0000 2014,1145823997
$ amzn misses / lowers . stock soars !,Thu Jan 30 23:02:57 +0000 2014,18918243
AT_USER went long $ goog @ $ 1112 and covered 1/2 at 1186 . saw your post and went long $ amzn @ $ 385.01 . i think ur right .,Thu Jan 30 23:40:27 +0000 2014,613858801
URL pt raised to $ 460.00 at goldman sachs group inc . $ amzn URL,Fri Jan 31 18:07:35 +0000 2014,565538332
URL positive rating reiterated at susquehanna . $ 475.00 pt . URL $ amzn amzn,Fri Jan 31 12:30:01 +0000 2014,992182100
rt AT_USER for defined risk 100 % transparency check us out . 7day free trials . URL $ spy $ goog $ aapl $ vxx $ pcln $ amzn …,Fri Jan 31 16:24:35 +0000 2014,19739279
rt AT_USER pre market meeting watching $ es_f $ vxx $ goog $ twtr $ amzn $ cmg $ fb $ znga $ msft URL,Fri Jan 31 14:32:44 +0000 2014,324878994
pre-open stock movers 1/31 : $ znga $ cmg $ goog higher ; $ dllr $ amzn $ ma lower ( more ... ) URL,Fri Jan 31 14:32:47 +0000 2014,84402174
rt AT_USER amazon ’ s prime problem URL $ amzn,Fri Jan 31 14:34:08 +0000 2014,1411681694
market wrap 1/30 / 14 : URL $ dia $ qqq $ spy $ gld $ slv $ tlt $ uup $ aapl $ goog $ amzn $ tsla $ fb $ twtr $ bbry $ nflx $ ba $ gs,Thu Jan 30 23:08:50 +0000 2014,1805986292
$ amzn end of free ride ?,Fri Jan 31 20:00:32 +0000 2014,12114462
"$ amzn closed near $ 385 a / h , which is optimal - my view into earnings URL",Fri Jan 31 03:34:47 +0000 2014,61342056
"$ amzn changing shopping habits affect wal-mart , amazon URL",Sat Feb 01 17:56:49 +0000 2014,1849605206
$ amzn nadella outran better-known candidates for microsoft ceo URL,Sat Feb 01 00:24:50 +0000 2014,1175266028
"prophet of no profit : how jeff bezos won the faith of wall street . URL moats , operating leverage , pricing power $ $ $ amzn",Sat Feb 01 18:45:37 +0000 2014,120209971
rt AT_USER average 50 % on every daytrade 40 % returns in minutes video URL $ amzn $ spy,Sun Feb 02 15:25:10 +0000 2014,2275059234
"rt AT_USER AT_USER $ bby worst company ever , i want to short it and buy $ amzn AT_USER",Sun Feb 02 20:32:30 +0000 2014,1020047424
rt AT_USER sb48 fans . please save our amazon store URL from auto shutdown from AT_USER $ amzn just need one sa …,Sun Feb 02 20:24:42 +0000 2014,2238655232
rt AT_USER rt AT_USER open interest – february 7th expiration $ aapl $ amzn $ cmg $ fb $ goog $ nflx $ pcln $ tsla URL,Sat Feb 01 23:56:21 +0000 2014,844322774
potential short plays : buy the break of the plod and place stops accordingly : $ amzn $ ups $ hes $ wmt $ xly $ cl $ bk,Sun Feb 02 22:14:12 +0000 2014,430037432
rt AT_USER share this to save our hard work . amazon $ amzn 1 purchase needed URL so AT_USER doesn't shut us down s …,Sun Feb 02 21:46:34 +0000 2014,2302627273
rt AT_USER sb48 fans . please save our solar amazon store URL from auto deletion by AT_USER $ amzn just need one …,Mon Feb 03 01:14:12 +0000 2014,2270266598
rt AT_USER sb48 fans . please save our amazon store URL from auto deletion by AT_USER $ amzn just need one sale …,Mon Feb 03 01:25:25 +0000 2014,2267377501
rt AT_USER sb48 fans please save our amazon store URL from auto deletion by AT_USER $ amzn just need one sale s …,Sun Feb 02 23:39:25 +0000 2014,2287671242
triple digit returns from daytrades watch video URL $ amzn $ spy,Mon Feb 03 06:33:46 +0000 2014,2275009585
added $ amzn to trading account and covered partial short index hedges against holdings in investment account,Mon Feb 03 17:55:56 +0000 2014,54879118
amazon : in trouble ? what market-makers make of it $ amzn URL,Mon Feb 03 13:31:27 +0000 2014,216843073
"amazon pullback a potential opportunity ? URL $ amzn , $ nflx",Mon Feb 03 13:33:24 +0000 2014,348642818
rt AT_USER sb48 save our amazon store URL from auto deletion by AT_USER $ amzn need only one sale solar,Mon Feb 03 02:04:23 +0000 2014,2271502818
"$ amzn stock quote , 10:16 am : 349.98 +3.83 ( +1.11 % ) .",Tue Feb 04 15:32:05 +0000 2014,249924827
waited all day for the $ amzn selloff . didn't happen ( today ) . closed my weekly puts up 120 % . will look to re-short tomorrow .,Tue Feb 04 20:58:36 +0000 2014,756411806
$ amzn - microsoft names engineering executive as new chief -> URL stock stocks stockaction,Tue Feb 04 14:17:09 +0000 2014,2180886595
chegg needs to adapt “ AT_USER $ chgg $ amzn and $ spls steamrolling $ chgg . recent promotions show textbook rental prices cut ~ 25 % y / y ”,Mon Feb 03 23:54:50 +0000 2014,434200611
rt AT_USER laser targeted signals for powerful returns free webinar URL $ amzn $ spy,Tue Feb 04 05:01:03 +0000 2014,2277981793
$ amzn - the names that are shaping retails revolution -> URL stock stocks stockaction,Tue Feb 04 13:10:34 +0000 2014,409065420
killer daytrading strategies webinar this wed URL $ amzn $ fb,Tue Feb 04 06:00:48 +0000 2014,2277624414
high performance daytrading killer webinar URL $ amzn $ spy,Wed Feb 05 15:47:39 +0000 2014,2275088275
precision trade entries using options watch video URL $ amzn $ spy,Wed Feb 05 14:08:58 +0000 2014,2275224710
rt AT_USER average 50 % on every daytrade killer webinar URL $ amzn $ spy,Thu Feb 06 18:41:34 +0000 2014,2276911598
average 50 % on every daytrade webinar on wednesday URL $ amzn $ spy,Thu Feb 06 18:04:23 +0000 2014,2275079168
"$ amzn amazon puts image recognition into its main ios app – prepare to be even more showroomed , retailers URL",Thu Feb 06 18:57:11 +0000 2014,2329478684
$ amzn strong . needs to get through $ 353 for higher . calls patience,Thu Feb 06 14:35:15 +0000 2014,33286321
"$ amzn amazon acquires double helix , the games studio behind the latest killer instinct URL",Thu Feb 06 04:00:04 +0000 2014,2329478684
$ amzn - amazons got game-it buys double helix -> URL stock stocks stockaction,Thu Feb 06 20:55:20 +0000 2014,409065420
laser targeted signals for powerful returns must attend webinar URL $ amzn $ spy,Wed Feb 05 23:06:14 +0000 2014,2277699492
"AT_USER totally agree . i value $ amzn at 10 dollars , not more . $ amzn owes a fortune to creditors ans is technically insolvent",Thu Feb 06 21:22:36 +0000 2014,316391952
$ fnma last trade get started here : URL also see $ lbtyk $ awre $ amzn $ cimt,Fri Feb 07 13:57:27 +0000 2014,2204135624
$ amzn amazon tests brazils retail jungle with its kindle URL,Fri Feb 07 13:59:04 +0000 2014,1923869994
create your own movie studio - amazon and netflix trend - the value is creation of content and doing it well - next step :d istribution $ amzn,Fri Feb 07 14:23:58 +0000 2014,16995129
rt AT_USER i'm pumped first watchlist for tomorrow is up via AT_USER $ amzn $ nflx $ goog URL,Thu Feb 06 23:27:57 +0000 2014,99033718
rt AT_USER precision trade entries using options must attend webinar URL $ amzn $ spy,Sat Feb 08 12:05:24 +0000 2014,2275254488
rt AT_USER high performance daytrading webinar on wednesday URL $ amzn $ spy,Sat Feb 08 21:53:04 +0000 2014,2276910786
"$ amzn - this emerging trend could lift shares of take-two , zynga , and electron ... -> URL stock stocks stockaction",Sun Feb 09 17:06:06 +0000 2014,300706809
rt AT_USER average 50 % on every daytrade check out trade URL $ amzn $ spy,Sat Feb 08 23:51:20 +0000 2014,2275009585
trades making 80 to 100 % daily free trial sign up now URL $ amzn $ spy,Sun Feb 09 14:11:46 +0000 2014,2278042003
