text,Date,user_id_str
rt AT_USER summary of yesterday's webcast featuring $ aapl $ wynn $ goog $ lgf tradereducation options hedgingstrategies - - URL,Wed Jan 01 03:59:03 +0000 2014,1938270918
itv will boost apple URL $ aapl apple,Wed Jan 01 18:08:47 +0000 2014,23059499
"iphone users are more intelligent than samsung , blackberry and htc owners , $ aapl $ bbry , URL",Wed Jan 01 01:52:31 +0000 2014,23954327
2013 wrap-up and trading set review - part iii URL $ aapl apple $ bp $ cnw $ csco $ csx $ cvx $ goog $ hpq $ ibm $ intc $ ngg,Wed Jan 01 10:52:20 +0000 2014,23059499
apple screwed up big time URL $ amzn $ aapl,Wed Jan 01 15:01:12 +0000 2014,23669783
$ aapl - wall st . kicks off new year on lower note -> URL stock stocks stockaction,Thu Jan 02 15:45:02 +0000 2014,153395860
rt AT_USER here's how apple could be making a huge push into healthcare --> URL $ aapl,Thu Jan 02 04:31:32 +0000 2014,1653399757
"rt AT_USER our top 3 trade ideas for 2014 and two $ 1,000 futures wins already in the bank $ gld $ uso $ aapl - - URL",Thu Jan 02 15:28:15 +0000 2014,1951070833
AT_USER $ aapl having breathing difficulties,Thu Jan 02 16:52:48 +0000 2014,915436742
emylers : cheeky's board ! : $ aapl up to date company activities and other impo URL,Thu Jan 02 17:02:11 +0000 2014,2197099980
$ aapl blackberry and singer alicia keys to part ways URL,Thu Jan 02 22:46:49 +0000 2014,1604673104
$ aapl - chinas xiaomi says to more than double smartphone sales in 2014 -> URL stock stocks stockaction,Thu Jan 02 11:15:21 +0000 2014,153395860
what are your top picks for q1 2014 ? here are mine : $ aapl $ cree $ fb $ cldx $ sne,Thu Jan 02 17:54:54 +0000 2014,24312698
$ aapl us stocks-wall st kicks off new year on lower note URL,Thu Jan 02 16:24:17 +0000 2014,1604673104
rt AT_USER apple gained 8 % in 2013 vs s & p's 30 % but don't cry for $ aapl investors . at least not the long term ones . URL,Thu Jan 02 15:12:40 +0000 2014,85837311
$ aapl - apple will be the main victim of microsoft and google cutthroat smartp ... -> URL stock stocks stockaction,Thu Jan 02 21:47:23 +0000 2014,2180886595
"new education : supply / demand zones , accumulation / distribution , & price patterns URL $ spy $ qqq $ iwm $ aapl $ twtr $ study",Thu Jan 02 18:38:57 +0000 2014,470506640
"i bought a new tv this year . would probably have been a $ aapl tv if they made one , competition didn't seem to be very strong .",Thu Jan 02 20:36:37 +0000 2014,348194307
"$ aapl [ video ] apple denies working with nsa , and more URL",Thu Jan 02 20:52:18 +0000 2014,1849605206
$ aapl cleaning the mobile germ warehouse URL,Thu Jan 02 06:12:18 +0000 2014,1849605206
$ aapl kara swisher and walt mossberg launch re / code URL,Thu Jan 02 06:18:33 +0000 2014,1849605206
$ aapl let's not let the wf downgrade overshadow cantor's 2014 top large cap pick with a $ 777 price target .,Thu Jan 02 13:54:15 +0000 2014,12114462
"will 2014 be apple's "" year of innovation "" ( URL or year of gross-margin pressure ( URL $ aapl",Thu Jan 02 13:56:57 +0000 2014,271143276
$ aapl - pre-market : apple downgraded on margin concerns ; stocks to start 2014 ... -> URL stock stocks stockaction,Thu Jan 02 14:02:05 +0000 2014,2180886595
big tuna's stocks - $ aapl daily chart ~ range is getting URL,Wed Jan 01 23:17:48 +0000 2014,324536058
"$ aapl the zacks analyst blog highlights : apple , nokia , URL microsoft and solarwinds URL",Thu Jan 02 13:23:05 +0000 2014,1934537768
"rt AT_USER apple slips , urban outfitters up on analyst call URL $ aapl",Thu Jan 02 14:30:52 +0000 2014,25692560
$ aapl how is tim cook doing taking over from the legendary steve jobs ? URL,Thu Jan 02 14:53:28 +0000 2014,1934537768
this weeks $ aapl 550 puts are already up a dollar today .,Thu Jan 02 14:53:31 +0000 2014,548791763
"thursday headlines include news on $ cpb , $ nyt , $ aapl , $ wmt and $ nflx URL",Thu Jan 02 14:16:23 +0000 2014,830065705
the five-year-old ipad : when will people stop upgrading ? $ aapl ​ ​ ​ aapl URL,Fri Jan 03 22:11:41 +0000 2014,1671367940
"$ aapl was below this level two weeks ago , and then jumped to 570 the following week ( chl news ) . earnings run up will be next catalyst .",Fri Jan 03 15:49:45 +0000 2014,8309752
$ aapl apple sale : best buy temporarily cuts iphone 5s price URL,Fri Jan 03 18:06:08 +0000 2014,1604673104
rt AT_USER also added $ aapl common here w 541 stop,Fri Jan 03 18:06:22 +0000 2014,1721098232
rt AT_USER google's dirty secret : android phones are basically used as dumbphones $ aapl $ goog by AT_USER URL,Fri Jan 03 17:27:46 +0000 2014,125501979
$ bbry $ aapl blackberry files suit against typo : full story URL,Fri Jan 03 17:31:51 +0000 2014,166597717
rt AT_USER hmm not so much for $ aapl .. we got this double top threat goin on here ..,Fri Jan 03 19:24:10 +0000 2014,1089678500
rt AT_USER AT_USER what i like about $ aapl long term is its ~ 9.5 pe ex-cash gives it a floor on valuation . only hi quality s …,Fri Jan 03 19:32:39 +0000 2014,594080668
$ aapl is soooo pathetic . one has to wonder if icahn is selling . 544 must hold .,Fri Jan 03 16:45:27 +0000 2014,322138756
rt AT_USER 50 % of trades in $ aapl today are for less than 100 shares oddlots,Fri Jan 03 20:05:35 +0000 2014,18270633
the good support for $ aapl today is 541.02 URL,Fri Jan 03 16:07:15 +0000 2014,98439400
bloggers trading $ aapl stupid again nsa ‘ malicious hackers ’ & then ? before it becomes farce maybe next try to parse what ‘ any ’ means & when,Fri Jan 03 06:18:23 +0000 2014,55874022
$ aapl new lows .. still holding half lotto 542.50 puts,Fri Jan 03 15:27:41 +0000 2014,54664941
best position today : $ gld ( non-core long ) worst - $ aapl ( core-long ) fvam stockaction,Fri Jan 03 21:04:59 +0000 2014,977532660
overall market vix is down . 35 % where as $ aapl iv is up 3.72 % . if this is not a pre-event shake-down then there is no more trading for me ...,Fri Jan 03 17:13:10 +0000 2014,943969916
$ aapl blackberry sues ryan seacrest's company over iphone keyboard URL,Fri Jan 03 19:10:50 +0000 2014,1604673104
$ aapl - online retail sales up in q4 -> URL stock stocks stockaction,Fri Jan 03 15:17:23 +0000 2014,2180886595
$ aapl - boeing contract with machinists - details of agreement -> URL stock stocks stockaction,Sat Jan 04 22:45:02 +0000 2014,153395860
claytrader : * * $ aapl video chart 1/3 / 14 * * : claytrader URL,Sat Jan 04 22:05:45 +0000 2014,1286059681
"rt AT_USER january 3 , 1977 – steve jobs and steve wozniak incorporated apple computer company . $ aapl",Sat Jan 04 01:02:22 +0000 2014,16572978
apple iwatch reportedly already in production URL ibdblogs via AT_USER $ aapl $ qcom $ sne $ nke,Sat Jan 04 04:26:36 +0000 2014,26739193
apple stock forecast : playing $ aapl - s & p 500 spread as “ market neutral ” strategy . | URL $ spy,Sat Jan 04 18:46:58 +0000 2014,615965380
$ aapl machinists vote helps boeing avoid hiring crunch URL,Sun Jan 05 00:23:09 +0000 2014,1923869994
"AT_USER jim , the "" great "" AT_USER ghostine has predicted $ 425 for $ aapl what says u ? . target = $ 425 URL",Sun Jan 05 18:38:15 +0000 2014,95424523
$ aapl ... forecasting apple using evidence-driven technical analysis ( subscribers only ) . target = $ 425 URL,Sun Jan 05 18:06:24 +0000 2014,224466293
rt AT_USER here are the 100 most popular and most trending stocks of the last year URL $ spy $ fb $ aapl,Sun Jan 05 19:13:07 +0000 2014,1600312634
in it to win it : $ mu puts working .. $ aapl long working .. $ san sitting : in it to win it URL,Mon Jan 06 18:39:16 +0000 2014,1286058860
$ aapl intel has a shot at winning apple URL,Mon Jan 06 06:31:01 +0000 2014,1849605206
wall street vs aapl in nine bar-charts URL $ aapl,Mon Jan 06 19:15:08 +0000 2014,956382744
rt AT_USER 9 bar charts : apple vs . amazon vs . google URL $ amzn $ goog only market sentiment killing $ aapl ceo,Mon Jan 06 16:42:55 +0000 2014,518510611
$ aapl r / g & v . important reversal on daily here . this is a big technical defense,Mon Jan 06 15:43:16 +0000 2014,237591901
"no steve jobs but could argue steve jobs is not who you want to lead company at this stage . to early to know ? AT_USER "" ineffective ceo "" $ aapl",Mon Jan 06 15:38:48 +0000 2014,1482587328
$ aapl resistance is strong at 545.5,Mon Jan 06 19:01:52 +0000 2014,98638360
updated report for $ aapl via AT_USER URL URL,Mon Jan 06 13:57:48 +0000 2014,1923879936
focus list $ scty $ mnkd $ p $ aria $ mgm $ fslr $ mu $ aapl $ jaso $ fb $ celg $ sol $ grpn $ camt $ abt,Mon Jan 06 14:07:21 +0000 2014,34066631
AT_USER URL downgraded $ aapl looks for new footing $ fxi $ spx $ bac $ c $ twtr $ fb AT_USER AT_USER,Mon Jan 06 13:17:21 +0000 2014,455824771
$ aapl apple ’ s products may get curved displays from corning URL,Mon Jan 06 00:36:12 +0000 2014,1923869994
let's see how strong this $ aapl move is . it can get as high as $ 550 in the next couple days .,Mon Jan 06 16:12:12 +0000 2014,278107965
rt AT_USER january effect on markets appears delayed $ aa $ aapl $ bac URL,Mon Jan 06 16:22:37 +0000 2014,1020067598
$ aapl - nice momentum . some short covering will happen that can push it up,Mon Jan 06 17:01:51 +0000 2014,278107965
"rt AT_USER "" AT_USER posted this $ aapl chart over the weekend - nearing important technical support confluence URL",Mon Jan 06 17:28:26 +0000 2014,1721098232
did $ aapl find a bottom premarket ? heard lots of sub 500 chatter last week ... both sides have a good argument for now,Mon Jan 06 13:01:17 +0000 2014,82143051
"$ aapl [ video ] asian stocks down , liberty poised to acquire sirius xm URL",Mon Jan 06 15:15:24 +0000 2014,1923869994
spx cit dates : $ aapl breaking key support levels URL,Mon Jan 06 15:15:29 +0000 2014,347812964
dirty secrets apple doesn ’ t want you to know . URL $ aapl $ fb $ twtr $ tsma finance apple,Mon Jan 06 22:06:38 +0000 2014,2179043587
"$ aapl qualcomm , inc . : industry analyst jeff kagan on apple iwatch smartwatch ... URL",Mon Jan 06 00:07:34 +0000 2014,1934537768
rt AT_USER standpoint research downgrades apple $ aapl to sell for moral reasons URL,Mon Jan 06 11:58:20 +0000 2014,13391862
