text,Date,user_id_str
$ fb is facebook inc ( nasdaq : fb ) becoming an african-asian company ? URL,Wed Jan 01 20:22:33 +0000 2014,1849605206
$ fb google's biggest threat in 2014 : facebook and twitter URL,Wed Jan 01 20:25:04 +0000 2014,1728756842
warning bells are sounding ever louder for facebook's long-term future URL $ twtr $ fb,Wed Jan 01 09:47:20 +0000 2014,23059499
what are your top picks for q1 2014 ? here are mine : $ aapl $ cree $ fb $ cldx $ sne,Thu Jan 02 17:54:54 +0000 2014,24312698
teenagers migrate from facebook as parents send them friend requests | | the guardian URL $ fb $ spy,Thu Jan 02 17:57:33 +0000 2014,766003172
fb 54.78 $ fb facebook URL,Thu Jan 02 21:40:26 +0000 2014,759299599
rt AT_USER here is a quick snapshot we did today of $ fb vs $ twtr at a $ 50b market cap ... URL,Fri Jan 03 20:12:12 +0000 2014,2948211
facebook inc : facebook faces lawsuit for allegedly scanning private messages $ fb URL,Fri Jan 03 09:21:17 +0000 2014,704897486
$ fb [ video ] facebook sued over privacy : bloomberg west ( 01/02 ) URL,Fri Jan 03 16:46:19 +0000 2014,1728756842
rt AT_USER facebook is facing a lawsuit over claims it mines private messages for info that is then sold to other companies . $ fb URL,Fri Jan 03 12:55:47 +0000 2014,20205271
$ fb can snapchat recover from hack attack ? URL,Fri Jan 03 04:49:33 +0000 2014,1923869994
$ fb - u . s . markets close down ; facebook class-action lawsuit ; g . m . and ford ... -> URL stock stocks stockaction,Fri Jan 03 13:19:08 +0000 2014,71319651
"$ fb could not break down or cross under 20 ema . bullish , watch for ramp into close .",Fri Jan 03 17:48:59 +0000 2014,339936505
"$ fb the zacks analyst blog highlights : facebook , netflix , aol , blucora and ... URL",Fri Jan 03 12:28:05 +0000 2014,1849605206
majors that will make you rich URL finance $ fb $ twitter education,Sat Jan 04 17:32:43 +0000 2014,1092968034
rosner : $ fb overall average : 56 % buy . $ cmcsa $ nvda $ msft URL,Sat Jan 04 15:00:38 +0000 2014,1854900966
rt AT_USER institutional buying on weakness ( fri ): $ spy $ fb $ htz $ ups $ ebay URL,Sat Jan 04 20:27:27 +0000 2014,874011066
2013 ' s best smartphone URL $ apple $ goog $ fb $ twtr samsung,Sun Jan 05 21:47:51 +0000 2014,119830063
facebook inc : facebook ' is uncool ' now i've joined in $ fb URL,Sun Jan 05 07:36:05 +0000 2014,704897486
best-paying jobs for women URL finance education $ fb $ twtr,Sun Jan 05 16:58:34 +0000 2014,1626169562
how 3d printing is going to change the world . printable pizza ? URL 3dprinting $ ddd $ syss $ hpq $ xone $ fb $ twtr,Sun Jan 05 21:24:49 +0000 2014,2278103700
"best trades of 2013 : $ 400,000 profit URL on $ visn by URL whose profit chart beats $ spy $ dia $ qqq $ fb",Sun Jan 05 20:29:24 +0000 2014,138404716
"AT_USER sunday links : reflexive buybacks , economic optimism & short vs long-term thinking URL $ amzn $ goog $ fb",Sun Jan 05 20:31:46 +0000 2014,466333756
rt AT_USER here are the 100 most popular and most trending stocks of the last year URL $ spy $ fb $ aapl,Sun Jan 05 19:13:07 +0000 2014,1600312634
"this tiny device brings exercising to planes , couches $ fb facebook URL",Sun Jan 05 19:34:16 +0000 2014,759299599
"rt AT_USER URL i love this trade , straight out of URL rules , learn $ fb $ twtr $ lnkd peeps !",Mon Jan 06 18:39:05 +0000 2014,138404716
$ fb a trader bought 4567 fri 1/31 57.5 calls AT_USER opening also bought 1189 lot more with the same info,Mon Jan 06 19:33:44 +0000 2014,2210980428
rt AT_USER $ fb a monster today,Mon Jan 06 19:46:43 +0000 2014,407205792
“ AT_USER analyst : invest in facebook and google over twitter | fox business URL via AT_USER $ fb ”,Mon Jan 06 19:50:47 +0000 2014,1691951420
$ fb [ $ $ ] profitable learning curve for facebook ceo mark zuckerberg URL,Mon Jan 06 04:24:09 +0000 2014,1728756842
facebook inc : take a swipe at finding love $ fb URL,Mon Jan 06 18:05:48 +0000 2014,704897486
rt AT_USER strong reversal in $ fb,Mon Jan 06 16:54:10 +0000 2014,342455473
"rt AT_USER mark zuckerberg is worth ~ $ 20 billion — and he drives this $ 30,000 hatchback $ fb by AT_USER URL",Mon Jan 06 15:35:30 +0000 2014,104525322
"also by his standard , the most moral thing to do would be to invest in $ twtr $ fb $ goog where engineers r given millions in options",Mon Jan 06 22:57:05 +0000 2014,385779209
"rt AT_USER sentiment is pointing toward the dominance of facebook $ fb and google $ goog , away from twitter $ twtr . URL",Mon Jan 06 20:18:23 +0000 2014,381007504
in $ fb weekly $ 58 calls at 0.40 and out at 0.58 ( + 45 % ) . thanks AT_USER,Mon Jan 06 20:24:49 +0000 2014,809050464
‘ downton abbey ’ spoof awkwardly puts lady mary in tv cop drama $ fb facebook URL,Mon Jan 06 05:47:26 +0000 2014,759299599
focus list $ scty $ mnkd $ p $ aria $ mgm $ fslr $ mu $ aapl $ jaso $ fb $ celg $ sol $ grpn $ camt $ abt,Mon Jan 06 14:07:21 +0000 2014,34066631
AT_USER URL downgraded $ aapl looks for new footing $ fxi $ spx $ bac $ c $ twtr $ fb AT_USER AT_USER,Mon Jan 06 13:17:21 +0000 2014,455824771
$ fb trying to push through the . 50 retracement off the previous swing . still looks good . staying long and trailing up stops .,Mon Jan 06 17:33:24 +0000 2014,1209330463
$ fb trying to put in a 15min pennant her for higher but watch 54.90 for some resistance .,Mon Jan 06 15:21:52 +0000 2014,37982404
dirty secrets apple doesn ’ t want you to know . URL $ aapl $ fb $ twtr $ tsma finance apple,Mon Jan 06 22:06:38 +0000 2014,2179043587
rt AT_USER why one analyst says facebook stock is hot despite the site's dwindling cool factor : URL $ fb,Mon Jan 06 21:29:02 +0000 2014,265359448
"late to this , but zynga's trial run with bitcoin is limited to its website ; not available for $ fb games URL",Mon Jan 06 12:37:15 +0000 2014,271143276
facebook higher following pt hike ; wsj details zuck's transformation URL $ fb,Mon Jan 06 20:44:06 +0000 2014,348642818
"rt AT_USER too many options : $ bby , $ eem , $ fb , $ xlf , $ vix , $ vlo URL",Tue Jan 07 21:10:09 +0000 2014,66659124
"rt AT_USER AT_USER too many options : $ bac , $ ebay , $ fb , $ gm , $ vix URL",Tue Jan 07 05:06:36 +0000 2014,250756042
rt AT_USER facebook's revenue from mobile ads rose 429 % in one year . URL $ fb URL fb rt AT_USER,Tue Jan 07 17:29:16 +0000 2014,17486388
mt . AT_USER what is illegal immigration supporter mark zuckerberg's dream job ? it isn't ceo of facebook : URL $ fb,Tue Jan 07 08:38:46 +0000 2014,628038157
"last kcbb backtest $ fb 12/9 48.97 vsb , positive aroon 12/27 price went below 8ema 55.90 or 14 % . vsb + kcbb AT_USER AT_USER",Tue Jan 07 03:12:00 +0000 2014,1409089592
$ fb another new hod,Tue Jan 07 14:55:19 +0000 2014,41753918
"pre-market pulse : $ sonc earnings , bullish call blocks in $ twtr & $ mu , $ intc jan puts , $ fb nears all time highs $ $ URL",Tue Jan 07 14:11:02 +0000 2014,40045763
AT_USER rotate that $ twtr $ $ into $ fb $ goog,Tue Jan 07 17:58:35 +0000 2014,237591901
